complaint,department,sentiment,cleaned_text,priority_score
Water supply not available for 3 days,Water,Critical,water supply available day,100
Street light not working,Roads,Negative,street light work,75
Power outage in sector 10,Electricity,Critical,power outage sector,100
Garbage not collected for a week,Sanitation,Negative,garbage collect week,75
Water leakage near main road,Water,Negative,water leakage near main road,75
Potholes causing traffic issues,Roads,Negative,pothole cause traffic issue,75
Frequent electricity cuts,Electricity,Critical,frequent electricity cut,100
Overflowing garbage bins,Sanitation,Negative,overflow garbage bin,75
Water pressure is very low,Water,Neutral,water pressure low,50
Broken road divider,Roads,Neutral,break road divider,50
