complaint,department,sentiment,cleaned_text,topic
Water supply not available for 3 days,Water,Critical,water supply available day,3
Street light not working,Roads,Negative,street light work,2
Power outage in sector 10,Electricity,Critical,power outage sector,3
Garbage not collected for a week,Sanitation,Negative,garbage collect week,1
Water leakage near main road,Water,Negative,water leakage near main road,1
Potholes causing traffic issues,Roads,Negative,pothole cause traffic issue,1
Frequent electricity cuts,Electricity,Critical,frequent electricity cut,2
Overflowing garbage bins,Sanitation,Negative,overflow garbage bin,3
Water pressure is very low,Water,Neutral,water pressure low,2
Broken road divider,Roads,Neutral,break road divider,1
